rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
12,79200,Technology,Larry Page,"50,0",United States,Palo Alto,Google,Technology,United States,Alphabet,True,D,M,3/26/1973 0:00,Page,Larry,Cofounder and board member,4/4/2023 5:01,California,West,"1973,0","3,0","26,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
13,77300,Fashion & Retail,Amancio Ortega,"87,0",Spain,La Coruna,Zara,Fashion & Retail,Spain,nan,True,U,M,3/28/1936 0:00,Ortega,Amancio,nan,4/4/2023 5:01,nan,nan,"1936,0","3,0","28,0","110,96","0,7",1.394.116.310.769 ,"88,9","102,7","83,3","14,2","47,0","47076781,0","40,463667","-3,74922"
14,76000,Technology,Sergey Brin,"49,0",United States,Los Altos,Google,Technology,United States,Alphabet,True,D,M,8/21/1973 0:00,Brin,Sergey,Cofounder and board member,4/4/2023 5:01,California,West,"1973,0","8,0","21,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
15,68000,Food & Beverage,Zhong Shanshan,"68,0",China,Hangzhou,Beverages. pharmaceuticals,Food & Beverage,China,nan,True,U,M,12/1/1954 0:00,Zhong,Shanshan,nan,4/4/2023 5:01,nan,nan,"1954,0","12,0","1,0","125,08","2,9",19.910.000.000.000 ,"50,6","100,2","77,0","9,4","59,2","1397715000,0","35,86166","104,195397"
16,64400,Technology,Mark Zuckerberg,"38,0",United States,Palo Alto,Facebook,Technology,United States,Meta Platforms,True,D,M,5/14/1984 0:00,Zuckerberg,Mark,Cofounder,4/4/2023 5:01,California,West,"1984,0","5,0","14,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
17,59000,Diversified,Charles Koch & family,"87,0",United States,Wichita,Koch Industries,Diversified,United States,Koch Industries. Inc,False,D,M,11/1/1935 0:00,Koch,Charles,Chairman and CEO,4/4/2023 5:01,Kansas,Midwest,"1935,0","11,0","1,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
17,59000,Diversified,Julia Koch & family,"60,0",United States,New York,Koch Industries,Diversified,United States,nan,False,D,F,4/12/1962 0:00,Koch,Julia,nan,4/4/2023 5:01,New York,Northeast,"1962,0","4,0","12,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
19,58800,Fashion & Retail,Jim Walton,"74,0",United States,Bentonville,Walmart,Fashion & Retail,United States,Arvest Bank Group. Inc,False,D,M,6/7/1948 0:00,Walton,Jim,Chairman and CEO,4/4/2023 5:01,Arkansas,South,"1948,0","6,0","7,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
20,57600,Fashion & Retail,Rob Walton & family,"78,0",United States,Bentonville,Walmart,Fashion & Retail,United States,Walmart,False,D,M,10/27/1944 0:00,Walton,Rob,Director,4/4/2023 5:01,Arkansas,South,"1944,0","10,0","27,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
21,56700,Fashion & Retail,Alice Walton,"73,0",United States,Fort Worth,Walmart,Fashion & Retail,United States,Crystal Bridges Museum of American Art,False,D,F,10/7/1949 0:00,Walton,Alice,Philanthropist,4/4/2023 5:01,Texas,South,"1949,0","10,0","7,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
22,54400,Media & Entertainment,David Thomson & family,"65,0",Canada,Toronto,Media,Media & Entertainment,Canada,Thomson Reuters Corporation,False,U,M,6/12/1957 0:00,Thomson,David,Chairman,4/4/2023 5:01,nan,nan,"1957,0","6,0","12,0","116,76","1,9",1.736.425.629.520 ,"68,9","100,9","81,9","12,8","24,5","36991981,0","56,130366","-106,346771"
23,50100,Technology,Michael Dell,"58,0",United States,Austin,Dell Technologies,Technology,United States,"Dell Inc,",True,D,M,2/23/1965 0:00,Dell,Michael,Chairman and CEO,4/4/2023 5:01,Texas,South,"1965,0","2,0","23,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
24,47200,Diversified,Gautam Adani,"60,0",India,Ahmedabad,Infrastructure. commodities,Diversified,India,nan,True,D,M,6/24/1962 0:00,Adani,Gautam,nan,4/4/2023 5:01,nan,nan,"1962,0","6,0","24,0","180,44","7,7",2.611.000.000.000 ,"28,1","113,0","69,4","11,2","49,7","1366417754,0","20,593684","78,96288"
25,45100,Fashion & Retail,Phil Knight & family,"85,0",United States,Hillsboro,Nike,Fashion & Retail,United States,Nike,True,D,M,2/24/1938 0:00,Knight,Phil,Chairman,4/4/2023 5:01,Oregon,West,"1938,0","2,0","24,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
26,45000,Technology,Zhang Yiming,"39,0",China,Beijing,TikTok,Technology,China,ByteDance,True,D,M,1/1/1984 0:00,Zhang,Yiming,Founder,4/4/2023 5:01,nan,nan,"1984,0","1,0","1,0","125,08","2,9",19.910.000.000.000 ,"50,6","100,2","77,0","9,4","59,2","1397715000,0","35,86166","104,195397"
27,42900,Fashion & Retail,Dieter Schwarz,"83,0",Germany,Neckarsulm,Retail,Fashion & Retail,Germany,nan,False,D,M,9/24/1939 0:00,Schwarz,Dieter,nan,4/4/2023 5:01,nan,nan,"1939,0","9,0","24,0","112,85","1,4",3.845.630.030.824 ,"70,2","104,0","80,9","11,5","48,8","83132799,0","51,165691","10,451526"
28,40100,Fashion & Retail,François Pinault & family,"86,0",France,Paris,Luxury goods,Fashion & Retail,France,nan,True,D,M,8/21/1936 0:00,Pinault,François,nan,4/4/2023 5:01,nan,nan,"1936,0","8,0","21,0","110,05","1,1",2.715.518.274.227 ,"65,6","102,5","82,5","24,2","60,7","67059887,0","46,227638","2,213749"
29,39100,Logistics,Klaus-Michael Kuehne,"85,0",Switzerland,Schindellegi,Shipping,Logistics,Germany,nan,False,U,M,6/2/1937 0:00,Kuehne,Klaus-Michael,nan,4/4/2023 5:01,nan,nan,"1937,0","6,0","2,0","99,55","0,4",703.082.435.360 ,"59,6","105,2","83,6","10,1","28,8","8574832,0","46,818188","8,227512"
30,38900,Food & Beverage,Giovanni Ferrero,"58,0",Belgium,Brussels,Nutella. chocolates,Food & Beverage,Italy,nan,False,U,M,9/21/1964 0:00,Ferrero,Giovanni,nan,4/4/2023 5:01,nan,nan,"1964,0","9,0","21,0","117,11","1,4",529.606.710.418 ,"79,7","103,9","81,6","24,0","55,4","11484055,0","50,503887","4,469936"
31,38300,Food & Beverage,Jacqueline Mars,"83,0",United States,The Plains,Candy. pet food,Food & Beverage,United States,nan,False,U,F,10/10/1939 0:00,Mars,Jacqueline,nan,4/4/2023 5:01,Virginia,South,"1939,0","10,0","10,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
31,38300,Food & Beverage,John Mars,"87,0",United States,Jackson,Candy. pet food,Food & Beverage,United States,nan,False,U,M,10/15/1935 0:00,Mars,John,nan,4/4/2023 5:01,Wyoming,South,"1935,0","10,0","15,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
33,38000,Diversified,Li Ka-shing,"94,0",Hong Kong,nan,Diversified,Diversified,Hong Kong,CK Hutchison Holdings,True,U,M,6/13/1928 0:00,Li,Ka-shing,Senior Advisor,4/4/2023 5:01,nan,nan,"1928,0","6,0","13,0","167,52800000000002","8,2",nan,"67,98","102,54","77,3","10,58","40,62","691520756,2",nan,nan
34,35300,Technology,Ma Huateng,"51,0",China,Shenzhen,Internet media,Technology,China,Tencent Holdings,True,D,M,10/29/1971 0:00,Ma,Huateng,Chairman and CEO,4/4/2023 5:01,nan,nan,"1971,0","10,0","29,0","125,08","2,9",19.910.000.000.000 ,"50,6","100,2","77,0","9,4","59,2","1397715000,0","35,86166","104,195397"
35,35000,Gambling & Casinos,Miriam Adelson & family,"77,0",United States,Las Vegas,Casinos,Gambling & Casinos,United States,nan,False,U,F,10/10/1945 0:00,Adelson,Miriam,nan,4/4/2023 5:01,Nevada,West,"1945,0","10,0","10,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
35,35000,Finance & Investments,Ken Griffin,"54,0",United States,Miami,Hedge funds,Finance & Investments,United States,Citadel LLC,True,U,M,10/15/1968 0:00,Griffin,Ken,Founder & CEO,4/4/2023 5:01,Florida,South,"1968,0","10,0","15,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
37,34700,Food & Beverage,Mark Mateschitz,"30,0",Austria,Salzburg,Red Bull,Food & Beverage,Austria,nan,False,N,M,5/7/1992 0:00,Mateschitz,Mark,nan,4/4/2023 5:01,nan,nan,"1992,0","5,0","7,0","118,06","1,5",446.314.739.528 ,"85,1","103,1","81,6","25,4","51,4","8877067,0","47,516231","14,550072"
38,33400,Automotive,Robin Zeng,"54,0",China,Ningde,Batteries,Automotive,Hong Kong,nan,True,D,M,1/1/1969 0:00,Zeng,Robin,nan,4/4/2023 5:01,nan,nan,"1969,0","1,0","1,0","125,08","2,9",19.910.000.000.000 ,"50,6","100,2","77,0","9,4","59,2","1397715000,0","35,86166","104,195397"
39,32600,Fashion & Retail,Tadashi Yanai & family,"74,0",Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,nan,True,U,M,2/7/1949 0:00,Yanai,Tadashi,nan,4/4/2023 5:01,nan,nan,"1949,0","2,0","7,0","105,48","0,5",5.081.769.542.380 ,"63,2","98,8","84,2","11,9","46,7","126226568,0","36,204824","138,252924"
40,32100,Diversified,Len Blavatnik,"65,0",United Kingdom,London,Music. chemicals,Diversified,United States,nan,True,D,M,6/1/1957 0:00,Blavatnik,Len,nan,4/4/2023 5:01,nan,nan,"1957,0","6,0","1,0","119,62","1,7",2.827.113.184.696 ,"60,0","101,2","81,3","25,5","30,6","66834405,0","55,378051","-3,435973"
41,31600,Fashion & Retail,Alain Wertheimer,"74,0",United States,New York,Chanel,Fashion & Retail,France,nan,False,U,M,8/28/1948 0:00,Wertheimer,Alain,nan,4/4/2023 5:01,New York,Northeast,"1948,0","8,0","28,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
41,31600,Fashion & Retail,Gerard Wertheimer,"72,0",United States,New York,Chanel,Fashion & Retail,France,nan,False,U,M,1/9/1951 0:00,Wertheimer,Gerard,nan,4/4/2023 5:01,New York,Northeast,"1951,0","1,0","9,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
43,31200,Logistics,Gianluigi Aponte,"82,0",Switzerland,Geneva,Shipping,Logistics,Switzerland,nan,True,Split Family Fortune,M,6/27/1940 0:00,Aponte,Gianluigi,nan,4/4/2023 5:01,nan,nan,"1940,0","6,0","27,0","99,55","0,4",703.082.435.360 ,"59,6","105,2","83,6","10,1","28,8","8574832,0","46,818188","8,227512"
43,31200,Logistics,Rafaela Aponte-Diamant,"78,0",Switzerland,Geneva,Shipping,Logistics,Switzerland,nan,True,Split Family Fortune,F,3/26/1945 0:00,Aponte-Diamant,Rafaela,nan,4/4/2023 5:01,nan,nan,"1945,0","3,0","26,0","99,55","0,4",703.082.435.360 ,"59,6","105,2","83,6","10,1","28,8","8574832,0","46,818188","8,227512"
45,30200,Technology,Colin Zheng Huang,"43,0",China,Shanghai,E-commerce,Technology,China,nan,True,U,M,2/2/1980 0:00,Huang,Colin Zheng,nan,4/4/2023 5:01,nan,nan,"1980,0","2,0","2,0","125,08","2,9",19.910.000.000.000 ,"50,6","100,2","77,0","9,4","59,2","1397715000,0","35,86166","104,195397"
46,29700,Manufacturing,Reinhold Wuerth & family,"87,0",Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,nan,True,U,M,4/20/1935 0:00,Wuerth,Reinhold,nan,4/4/2023 5:01,nan,nan,"1935,0","4,0","20,0","112,85","1,4",3.845.630.030.824 ,"70,2","104,0","80,9","11,5","48,8","83132799,0","51,165691","10,451526"
47,29500,Real Estate,Lee Shau Kee,"95,0",Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,nan,True,D,M,1/29/1928 0:00,Lee,Shau Kee,nan,4/4/2023 5:01,nan,nan,"1928,0","1,0","29,0","118,242","5,2",nan,"49,12","105,64","74,26","10,16","50,88000000000001","963665360,0",nan,nan
48,28500,Finance & Investments,Jeff Yass,"64,0",United States,Haverford,Trading. investments,Finance & Investments,United States,nan,True,U,M,7/17/1958 0:00,Yass,Jeff,nan,4/4/2023 5:01,Pennsylvania,Northeast,"1958,0","7,0","17,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
49,28100,Finance & Investments,Jim Simons,"84,0",United States,East Setauket,Hedge funds,Finance & Investments,United States,"Renaissance Technologies Corp,",True,D,M,4/25/1938 0:00,Simons,Jim,Founder,4/4/2023 5:01,New York,Northeast,"1938,0","4,0","25,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
50,27800,Finance & Investments,Stephen Schwarzman,"76,0",United States,New York,Investments,Finance & Investments,United States,Blackstone Group,True,D,M,2/14/1947 0:00,Schwarzman,Stephen,Chairman and CEO,4/4/2023 5:01,New York,Northeast,"1947,0","2,0","14,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
51,27400,Automotive,Susanne Klatten,"60,0",Germany,Bad Homburg,BMW. pharmaceuticals,Automotive,Germany,nan,False,U,F,4/28/1962 0:00,Klatten,Susanne,nan,4/4/2023 5:01,nan,nan,"1962,0","4,0","28,0","112,85","1,4",3.845.630.030.824 ,"70,2","104,0","80,9","11,5","48,8","83132799,0","51,165691","10,451526"
52,27000,Metals & Mining,Gina Rinehart,"69,0",Australia,Perth,Mining,Metals & Mining,Australia,Hancock Prospecting,False,D,F,2/9/1954 0:00,Rinehart,Gina,Executive Chairman,4/4/2023 5:01,nan,nan,"1954,0","2,0","9,0","119,8","1,6",1.392.680.589.329 ,"113,1","100,3","82,7","23,0","47,4","25766605,0","-25,274398","133,775136"
53,26700,Technology,William Ding,"51,0",China,Hangzhou,Online games,Technology,China,nan,True,U,M,10/1/1971 0:00,Ding,William,nan,4/4/2023 5:01,nan,nan,"1971,0","10,0","1,0","125,08","2,9",19.910.000.000.000 ,"50,6","100,2","77,0","9,4","59,2","1397715000,0","35,86166","104,195397"
54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,"69,0",Mexico,Mexico City,Mining,Metals & Mining,Mexico,nan,False,D,M,10/26/1953 0:00,Larrea Mota Velasco,Germán,nan,4/4/2023 5:01,nan,nan,"1953,0","10,0","26,0","141,54","3,6",1.258.286.717.125 ,"40,2","105,8","75,0","13,1","55,1","126014024,0","23,634501","-102,552784"
55,25600,Technology,Shiv Nadar,"77,0",India,Delhi,software services,Technology,India,nan,True,D,M,7/18/1945 0:00,Nadar,Shiv,nan,4/4/2023 5:01,nan,nan,"1945,0","7,0","18,0","180,44","7,7",2.611.000.000.000 ,"28,1","113,0","69,4","11,2","49,7","1366417754,0","20,593684","78,96288"
56,25500,Energy,Low Tuck Kwong,"74,0",Indonesia,Jakarta,Coal,Energy,Indonesia,nan,True,U,M,4/17/1948 0:00,Low Tuck,Kwong,nan,4/4/2023 5:01,nan,nan,"1948,0","4,0","17,0","151,18","3,0",1.119.190.780.753 ,"36,3","106,4","71,5","10,2","30,1","270203917,0","-0,789275","113,921327"
57,25300,Finance & Investments,Thomas Peterffy,"78,0",United States,Palm Beach,Discount brokerage,Finance & Investments,United States,nan,True,U,M,9/30/1944 0:00,Peterffy,Thomas,nan,4/4/2023 5:01,Florida,South,"1944,0","9,0","30,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
58,25200,Metals & Mining,Andrey Melnichenko & family,"51,0",United Arab Emirates,Ras Al Khaimah,Fertilizers. coal,Metals & Mining,Russia,nan,True,U,M,3/8/1972 0:00,Melnichenko,Andrey,nan,4/4/2023 5:01,nan,nan,"1972,0","3,0","8,0","114,52","-1,9",421.142.267.938 ,"36,8","108,4","77,8","0,1","15,9","9770529,0","23,424076","53,847818"
59,24600,Automotive,Stefan Quandt,"56,0",Germany,Frankfurt,BMW,Automotive,Germany,nan,False,U,M,5/9/1966 0:00,Quandt,Stefan,nan,4/4/2023 5:01,nan,nan,"1966,0","5,0","9,0","112,85","1,4",3.845.630.030.824 ,"70,2","104,0","80,9","11,5","48,8","83132799,0","51,165691","10,451526"
60,24400,Technology,MacKenzie Scott,"52,0",United States,Seattle,Amazon,Technology,United States,nan,False,D,F,4/7/1970 0:00,Scott,MacKenzie,Philanthropist,4/4/2023 5:01,Washington,West,"1970,0","4,0","7,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
61,24200,Finance & Investments,"R, Budi Hartono","82,0",Indonesia,Kudus,Banking. tobacco,Finance & Investments,Indonesia,nan,False,U,M,1/1/1941 0:00,Hartono,"R, Budi",nan,4/4/2023 5:01,nan,nan,"1941,0","1,0","1,0","151,18","3,0",1.119.190.780.753 ,"36,3","106,4","71,5","10,2","30,1","270203917,0","-0,789275","113,921327"
62,23700,Metals & Mining,Vladimir Potanin,"62,0",Russia,Moscow,Metals,Metals & Mining,Russia,nan,True,U,M,1/3/1961 0:00,Potanin,Vladimir,nan,4/4/2023 5:01,nan,nan,"1961,0","1,0","3,0","180,75","4,5",1.699.876.578.871 ,"81,9","102,6","72,7","11,4","46,2","144373535,0","61,52401","105,318756"
63,23500,Technology,Jack Ma,"58,0",China,Hangzhou,E-commerce,Technology,China,nan,True,U,M,9/10/1964 0:00,Ma,Jack,nan,4/4/2023 5:01,nan,nan,"1964,0","9,0","10,0","125,08","2,9",19.910.000.000.000 ,"50,6","100,2","77,0","9,4","59,2","1397715000,0","35,86166","104,195397"
64,23400,Manufacturing,He Xiangjian & family,"80,0",China,Foshan,Home appliances,Manufacturing,China,nan,True,D,M,8/11/1942 0:00,He,Xiangjian,nan,4/4/2023 5:01,nan,nan,"1942,0","8,0","11,0","125,08","2,9",19.910.000.000.000 ,"50,6","100,2","77,0","9,4","59,2","1397715000,0","35,86166","104,195397"
65,23100,Metals & Mining,Iris Fontbona & family,"80,0",Chile,Santiago,Mining,Metals & Mining,Chile,nan,False,U,F,1/1/1943 0:00,Fontbona,Iris,nan,4/4/2023 5:01,nan,nan,"1943,0","1,0","1,0","131,91","2,6",282.318.159.745 ,"88,5","101,4","80,0","18,2","34,0","18952038,0","-35,675147","-71,542969"
65,23100,Manufacturing,Michael Hartono,"83,0",Indonesia,Kudus,Banking. tobacco,Manufacturing,Indonesia,nan,False,U,M,10/2/1939 0:00,Hartono,Michael,nan,4/4/2023 5:01,nan,nan,"1939,0","10,0","2,0","151,18","3,0",1.119.190.780.753 ,"36,3","106,4","71,5","10,2","30,1","270203917,0","-0,789275","113,921327"
67,22900,Manufacturing,James Ratcliffe,"70,0",United Kingdom,London,Chemicals,Manufacturing,United Kingdom,nan,True,U,M,1/1/1953 0:00,Ratcliffe,James,nan,4/4/2023 5:01,nan,nan,"1953,0","1,0","1,0","119,62","1,7",2.827.113.184.696 ,"60,0","101,2","81,3","25,5","30,6","66834405,0","55,378051","-3,435973"
68,22600,Healthcare,Cyrus Poonawalla,"81,0",India,Pune,Vaccines,Healthcare,India,nan,False,D,M,5/11/1941 0:00,Poonawalla,Cyrus,nan,4/4/2023 5:01,nan,nan,"1941,0","5,0","11,0","180,44","7,7",2.611.000.000.000 ,"28,1","113,0","69,4","11,2","49,7","1366417754,0","20,593684","78,96288"
69,22400,Telecom,Masayoshi Son,"65,0",Japan,Tokyo,Internet. telecom,Telecom,Japan,"SoftBank Group Corp,",True,U,M,8/11/1957 0:00,Son,Masayoshi,CEO,4/4/2023 5:01,nan,nan,"1957,0","8,0","11,0","105,48","0,5",5.081.769.542.380 ,"63,2","98,8","84,2","11,9","46,7","126226568,0","36,204824","138,252924"
70,22100,Metals & Mining,Vladimir Lisin,"66,0",Russia,Moscow,Steel. transport,Metals & Mining,Russia,nan,True,U,M,5/7/1956 0:00,Lisin,Vladimir,nan,4/4/2023 5:01,nan,nan,"1956,0","5,0","7,0","180,75","4,5",1.699.876.578.871 ,"81,9","102,6","72,7","11,4","46,2","144373535,0","61,52401","105,318756"
71,22000,Food & Beverage,Emmanuel Besnier,"52,0",France,Laval,Cheese,Food & Beverage,France,nan,False,D,M,9/18/1970 0:00,Besnier,Emmanuel,nan,4/4/2023 5:01,nan,nan,"1970,0","9,0","18,0","110,05","1,1",2.715.518.274.227 ,"65,6","102,5","82,5","24,2","60,7","67059887,0","46,227638","2,213749"
72,21600,Finance & Investments,Abigail Johnson,"61,0",United States,Milton,Fidelity,Finance & Investments,United States,Fidelity Investments,False,U,F,12/19/1961 0:00,Johnson,Abigail,CEO,4/4/2023 5:01,Massachusetts,Northeast,"1961,0","12,0","19,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
72,21600,Energy,Leonid Mikhelson & family,"67,0",Russia,Moscow,Gas. chemicals,Energy,Russia,nan,True,U,M,8/11/1955 0:00,Mikhelson,Leonid,nan,4/4/2023 5:01,nan,nan,"1955,0","8,0","11,0","180,75","4,5",1.699.876.578.871 ,"81,9","102,6","72,7","11,4","46,2","144373535,0","61,52401","105,318756"
74,21200,Fashion & Retail,Lukas Walton,"36,0",United States,Chicago,Walmart,Fashion & Retail,United States,nan,False,U,M,9/19/1986 0:00,Walton,Lukas,nan,4/4/2023 5:01,Illinois,Midwest,"1986,0","9,0","19,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
74,21200,Service,Wang Wei,"52,0",China,Shenzhen,Package delivery,Service,China,nan,True,D,M,10/1/1970 0:00,Wang,Wei,nan,4/4/2023 5:01,nan,nan,"1970,0","10,0","1,0","125,08","2,9",19.910.000.000.000 ,"50,6","100,2","77,0","9,4","59,2","1397715000,0","35,86166","104,195397"
76,21100,Technology,Jensen Huang,"60,0",United States,Los Altos,Semiconductors,Technology,United States,Nvidia,True,U,M,2/17/1963 0:00,Huang,Jensen,CEO & President,4/4/2023 5:01,California,West,"1963,0","2,0","17,0","117,24","7,5",21.427.700.000.000 ,"88,2","101,8","78,5","9,6","36,6","328239523,0","37,09024","-95,712891"
